species,mean_speed.x,se_speed.x,speed_sample_size.x,effective_radius.x,radius_se.x,effective_angle.x,angle_se.x,best_radius_model.x,best_angle_model.x,Density,density.SE,aic,estimate,se,radius_sample_size,activity_level,activity_se,activity_lcl,activity_ucl,activity_sample_size,Year
Barking_deer,0.180190405,0.073622365,6,12.07476708,0.160624281,0.266538995,0.0548639,hr,hn,1.789234415,1.842595803,112.6919214,12.07476708,0.07420531,27,0.374141782,0.088350346,0.125710937,0.458779123,11,2021
Hog_deer,0.248961876,0.055711485,23,6.262235175,0.377961571,0.290460638,0.023992012,hn,hn,2.911786296,1.108710464,574.6734997,6.370993155,0.331502423,126,0.414246366,0.046262281,0.280378993,0.460893394,106,2024
Hog_deer,0.248961876,0.055711485,23,4.017549296,0.245127666,0.40085884,0.035278428,hn,hr,1.365859719,0.693315605,214.4815038,4.017549296,0.239394921,61,0.70102775,0.130038547,0.163821276,0.636323289,8,2021
Indian_hare,0.244770972,0.080653093,8,9.949622777,0.579532268,0.125232285,0.051914945,hr,hr,3.466953357,1.646173162,184.7095528,9.971299611,0.543829545,41,0.325309227,0.038511109,0.251565465,0.387663837,135,2024
Indian_hare,0.244770972,0.080653093,8,12.14931588,1.641589581,0.182231869,0.035331534,hr,hn,0.89780106,0.557544068,18.96220446,12.14931588,1.641019525,10,0.318783986,0.082705034,0.056478801,0.37836245,6,2021
Indian_jackal,0.429795338,0.130435927,10,9.96939249,1.016400314,0.283661152,0.036122615,hn,hn,0.221392421,0.106766464,231.4045592,9.537944733,0.862520707,45,0.470019406,0.091972238,0.226867646,0.563335776,25,2024
Indian_jackal,0.429795338,0.130435927,10,3.906103652,7.475298976,0.246769041,0.043938943,hn,hr,0.528920973,1.065146534,8.678063134,3.906103652,7.479584432,4,0.454442301,0.177656395,0.034041679,0.454442301,3,2021
Jungle_cat,0.855974135,0.696472054,2,8.169859922,NA,0.146058389,NA,hn,hn,0.119314646,NA,6.710177351,7.794786531,NA,1,0.191528565,0.055943873,0.089579545,0.308557354,8,2024
Malayan_porcupine,1.099674795,0.588939706,4,8.450531807,1.189527702,0.379661672,0.062469006,hr,hr,0.054968328,0.070305858,90.48444043,8.779234092,1.350476327,19,0.259881806,0.089923524,0.08417535,0.400002278,8,2024
Sambar,0.486331185,0.125056315,8,6.114543652,0.625963555,0.495342624,0.026894387,hr,hr,0.207456763,0.113085503,462.1674906,6.09143419,0.531494916,95,0.446711724,0.075989638,0.236268841,0.538005748,18,2024
Sambar,0.486331185,0.125056315,8,9.074690077,1.419667752,0.474752067,0.080548558,hr,hr,2.400073404,3.000987572,23.31299423,9.074690077,1.414642289,6,0.042942991,0.01613246,0.032186522,0.073863042,4,2021
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,